idguidatore,codicefiscale,cognome,nome,numeropatente
2,GLC,RE DEPAOLINI,MATTEO,aaaa
3,DPTGNN80A01B212D,DI PIETRO,GIOVANNI,numeroPatente1
4,dvds,VanDeSfroos,Davide,
5,DNLLLV06H07A662X,LOLIVA,DANIELE,patenteroparoparo
6,GLISNT91L61E514F,SIMONTACCHI,GIULIA,questoilnumero
7,DNLSLV05E11G062X,SALVI,DANIELE,traullallalal
8,TRCVNI89M17B212F,TRICELLA,IVAN,lallaleroo
9,cfr,MENOLASCINA,ANTONIO,PIUPIUPIU
10,LDGB,LODIGIANI,BARBARA,MENOMENOMENO
11,BTG,BATTISTUTA,GIOVANNI,GIOBAT
12,IBRA,IBRAHIMOVIC,ZLATAN,IBRAKADABRA
13,LEVA,LEVANDOSKY,ROBERT,LEVANROB
14,GIACCHE,GIACCHERINI,EMANUELE,GIACEMA
15,LCUNRT70R15C351L,ANDREOTTI,LUCA,numerOpAtEnTeAoAo
16,gg,Gino,Gino,d34d43
17,PPM,Pappagallo,Marco,
18,abdfdbg,lolli,lolli,
19,SLVDNL92P14G062R,Salvi,Daniele,
20,TEAMISTINCT,Salvi,Daniele,
21,TRG,Tremonti,Giulio,
22,BZAH,Ben Zid,Ahmed,
23,abcdefghieret,Penti,Ivano Pentacella,
24,GRC,Geraci,Sara,
25,ABCDEF,DEF,ABC,
26,cacchio,cacchio,cacchio,
27,DRG,De Rossi,Gianluca,
28,RSM,Rossi,Mario,
29,RHA,Raho,Andrea,
30,PRP,Paraperta,Berta,aaaab
31,cc,cacchio2,cacchio2,
32,asfsdgsdklgdfn,nonloso,nonloso,
33,ggjhdrf,Gianni,Gino,
34,fytfty,Gianni,Gino,gyut6gty
